node,in_strength,out_strength,pagerank,betweenness,eigenvector,closeness,pagerank_norm,in_strength_norm,out_strength_norm,eigenvector_norm,community,role_z,role_P,out_entropy,local_reciprocity,out_2step,in_2step
Bulgaria,2,3,0.007750518664415269,0.000167973124300112,2.076792127405723e-05,0.038755980861244016,0.025940693021189995,0.0072992700729927005,0.008021390374331552,2.439009451589903e-05,1,-0.5382549338951612,0.0,0.999999999726928,0.0,26,2
Uruguay,2,0,0.009225024734800732,0.0,0.008272023435271045,0.0982456140350877,0.07217709638478818,0.0072992700729927005,0.0,0.009714763011742558,1,-0.7796248594086865,0.5,0.0,0.0,0,24
Croatia,9,14,0.009012985153410931,0.01231016370714019,0.0032446456460699445,0.06448474126492702,0.06552812571515612,0.032846715328467155,0.0374331550802139,0.0038105505569834015,4,-0.5000000000000001,0.6759002770083102,0.9578791961857352,0.3,65,15
Albania,11,0,0.007845989435860864,0.0,0.008779265899915328,0.1018843404808317,0.028934390494974198,0.040145985401459854,0.0,0.010310474613876087,0,-0.21322131157688237,0.16528925619834722,0.0,0.0,0,22
Morocco,113,0,0.02029008920581484,0.0,0.8514899874832124,0.11414077362079898,0.4191466982069654,0.4124087591240876,0.0,1.0,0,1.0538524595179244,0.15067742188111843,0.0,0.0,0,27
Serbia,5,0,0.008968553443441508,0.0,0.0002582602545154217,0.07114337568058075,0.06413487104802301,0.01824817518248175,0.0,0.00030330392407639846,4,-0.9166666666666667,0.56,0.0,0.0,0,9
Slovenia,1,17,0.007470515320084557,0.004907881405641764,6.935821378709234e-05,0.053289473684210525,0.017160568048054502,0.0036496350364963502,0.045454545454545456,8.145511374960212e-05,1,-0.296885008381636,0.6666666666666667,0.8134680055222573,0.125,66,4
Cyprus,0,7,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.01871657754010695,0.0,3,-0.42853726720446417,0.653061224489796,0.9755037586712421,0.0,70,0
New Zealand,4,0,0.008984217950001932,0.0,0.010412920838163807,0.09708978328173373,0.06462606634274985,0.014598540145985401,0.0,0.012229058463672308,2,-0.5957277287581111,0.625,0.0,0.0,0,25
United Kingdom,26,36,0.019468858730917325,0.01704473950834533,0.04233295822581759,0.08679050567595459,0.3933951979219143,0.0948905109489051,0.0962566844919786,0.04971633119367973,3,2.785492236829017,0.7104637336504162,0.8797357273795069,0.05555555555555555,18,29
Denmark,35,24,0.017334900107411077,0.023627064114186178,0.010148707496862955,0.08077562326869805,0.32648019929334277,0.12773722627737227,0.06417112299465241,0.011918763163451812,1,0.18585484264541444,0.6614069690992768,0.842093155542047,0.4444444444444444,47,23
India,18,0,0.010366178174443543,0.0,0.03940679069689915,0.11145510835913312,0.10796048974938063,0.06569343065693431,0.0,0.04627980513708163,3,-0.42853726720446417,0.654320987654321,0.0,0.0,0,29
Latvia,18,14,0.021372031478431436,0.008176469542650954,0.0014356690924601685,0.09027863777089783,0.45307339429696625,0.06569343065693431,0.0374331550802139,0.001686066910432665,5,1.4185987312303812,0.6272189349112426,0.9101663097046401,0.3333333333333333,53,19
Estonia,2,14,0.007567180619474482,0.021804289091523137,0.00026564673506276404,0.0843262001156738,0.02019172259100404,0.0072992700729927005,0.0374331550802139,0.00031197869495558974,5,0.4334607234315053,0.6015625,0.7984806889864943,0.0,54,15
Sweden,7,21,0.010219326695350792,0.0046557884071881835,0.0004858070278933176,0.05184921763869132,0.1033556363966247,0.025547445255474453,0.05614973262032086,0.0005705375694777568,1,0.12551236126703313,0.20370370370370372,0.8767574543577391,0.2222222222222222,34,9
Belarus,1,0,0.007382707657503375,0.0,5.67934683497649e-06,0.06934984520123838,0.014407164323879333,0.0036496350364963502,0.0,6.669892680433265e-06,5,-1.1427600890466958,0.0,0.0,0.0,0,3
Lithuania,16,7,0.015819085253556367,0.02407348157628113,0.006951073133876938,0.08922888616891064,0.2789484675392387,0.058394160583941604,0.01871657754010695,0.008163423218190198,5,0.4334607234315053,0.722117202268431,0.9755037586712421,0.16666666666666666,60,23
European Commission,0,6,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.016042780748663103,0.0,3,-0.2946193712030691,0.6111111111111112,0.8962406248917499,0.0,28,0
Finland,0,4,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.0106951871657754,0.0,2,-0.5957277287581111,0.625,0.9999999997114609,0.0,18,0
Algeria,1,0,0.007051490425227276,0.0,0.0029081517467701174,0.06299718762555243,0.00402111447296968,0.0036496350364963502,0.0,0.0034153681071058435,2,-0.6833347476931274,0.0,0.0,0.0,0,9
Côte d'Ivoire,4,0,0.007292951396821009,0.0,0.019500014032979084,0.09377990430622009,0.011592657990763144,0.014598540145985401,0.0,0.02290104912521187,0,-0.30757786899883605,0.375,0.0,0.0,0,23
Ecuador,21,0,0.010110214109692886,0.0,0.07112086948759862,0.11461988304093566,0.09993416962626056,0.07664233576642336,0.0,0.08352519763363725,2,-0.15769263408302944,0.7029478458049887,0.0,0.0,0,28
Guyana,6,0,0.007692668941372044,0.0,0.0174489104806207,0.030452515051466303,0.02412668683781786,0.021897810218978103,0.0,0.020492208642635058,2,-0.24529965301804577,0.0,0.0,0.0,0,9
Iceland,10,3,0.015585061034201295,0.01074468085106383,0.015096907263315583,0.09377990430622009,0.2716101198577513,0.0364963503649635,0.008021390374331552,0.017729988003661906,2,-0.24529965301804577,0.6446280991735538,0.999999999726928,0.3333333333333333,20,21
Ireland,7,14,0.01031006447842835,0.0012106063029915216,0.006512284752897953,0.05015479876160991,0.10620092053817856,0.025547445255474453,0.0374331550802139,0.007648104908604515,2,-0.15769263408302944,0.5123966942148761,0.8639275760172656,0.2,56,10
Kenya,1,0,0.007051490425227276,0.0,0.0029081517467701174,0.06299718762555243,0.00402111447296968,0.0036496350364963502,0.0,0.0034153681071058435,2,-0.6833347476931274,0.0,0.0,0.0,0,9
Maldives,3,0,0.007684300714549818,0.0,0.003975624450519925,0.09972299168975068,0.02386428255304651,0.010948905109489052,0.0,0.004669020785870728,3,-0.5624551632058592,0.6666666666666667,0.0,0.0,0,19
Mozambique,7,0,0.007926675000068991,0.0,0.004856549387714235,0.06397388820889433,0.03146446505165012,0.025547445255474453,0.0,0.005703589541985054,1,-0.47791245251677994,0.24489795918367352,0.0,0.0,0,11
Portugal,24,30,0.009097374475838296,0.028119856378534994,0.03013147700863278,0.09135338345864662,0.06817433981335401,0.08759124087591241,0.08021390374331551,0.035386766082468865,4,1.5833333333333333,0.6279999999999999,0.8876033737816842,0.3076923076923077,68,24
Senegal,14,0,0.00907579414380537,0.0,0.071485324375023,0.11145510835913312,0.0674976407094067,0.051094890510948905,0.0,0.0839532178015568,0,-0.2267008197800186,0.5510204081632653,0.0,0.0,0,29
Seychelles,12,0,0.008492731333731338,0.0,0.07830603844419458,0.09766684753119913,0.04921441501481969,0.043795620437956206,0.0,0.09196354577890845,0,-0.21322131157688237,0.29166666666666663,0.0,0.0,0,26
South Korea,10,0,0.008007984017265438,0.0,0.03619966652524243,0.06934984520123838,0.03401408935750997,0.0364963503649635,0.0,0.04251332024729901,0,-0.24018032798315483,0.33999999999999986,0.0,0.0,0,25
Tunisia,17,0,0.014221529729042292,0.0,0.011819534475050722,0.11065789473684211,0.22885357602898013,0.06204379562043796,0.0,0.013881002300433687,0,-0.1323442623580649,0.11072664359861584,0.0,0.0,0,24
Gambia,3,0,0.007952024270843058,0.0,0.002199614206117779,0.09667024704618689,0.032259347576736264,0.010948905109489052,0.0,0.0025832531661579236,3,-0.42853726720446417,0.4444444444444444,0.0,0.0,0,14
Philippines,5,0,0.011741670881433361,0.0,0.010133096644364112,0.13487719298245615,0.1510921098229712,0.01824817518248175,0.0,0.011900429592031922,1,-0.6589398966519239,0.56,0.0,0.0,0,29
Romania,5,9,0.008882686894756568,0.018135187258927463,0.00044795919442801915,0.09592105263157895,0.06144233524896791,0.01824817518248175,0.02406417112299465,0.0005260886223126034,6,-1.3887301496588271,0.6527777777777778,0.9825675926886449,0.25,64,15
Russia,5,0,0.009646263974276115,0.0,0.00992921550172459,0.133106960950764,0.0853859856393896,0.01824817518248175,0.0,0.011660989145712475,5,-1.1427600890466958,0.72,0.0,0.0,0,25
Greece,4,2,0.007852139309927795,5.5991041433370664e-05,0.000155685911656549,0.07641325536062377,0.02912723341621059,0.014598540145985401,0.0053475935828877,0.00018283939205993122,0,-0.2806188525925636,0.2777777777777777,0.0,0.0,1,9
Hungary,0,12,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.03208556149732621,0.0,6,0.9258200997725514,0.5277777777777778,0.8223773390272516,0.0,66,0
Ukraine,9,0,0.011819246722307237,0.0,0.002150917799944181,0.08596491228070176,0.15352467211752802,0.032846715328467155,0.0,0.0025260635257752665,6,0.4629100498862757,0.345679012345679,0.0,0.0,0,16
Colombia,4,0,0.007270461259978366,0.0,0.02486344186795911,0.07641325536062377,0.010887429942100632,0.014598540145985401,0.0,0.029199922762978243,0,-0.29409836079569984,0.0,0.0,0.0,0,22
Egypt,1,0,0.006953224560819432,0.0,4.870312270867676e-05,0.06993755575379125,0.0009397706691791816,0.0036496350364963502,0.0,5.7197528361585076e-05,0,-0.33453688540510856,0.0,0.0,0.0,0,8
