node,z_pagerank,p_pagerank,z_in_strength,p_in_strength,z_out_strength,p_out_strength,p_pagerank_fdr,p_in_fdr,p_out_fdr
South Africa,-1.2979413671207929,0.1943074836820493,,,,,0.3052719442035417,,
Russia,-1.2990445862595488,0.19392862837688352,,,,,0.3052719442035417,,
Senegal,-1.31297236365326,0.1891922608272094,,,,,0.3052719442035417,,
Germany,-1.3225544157186928,0.1859836019279646,,,,,0.3052719442035417,,
Canada,-1.3231589686744183,0.18578251787120514,,,,,0.3052719442035417,,
Egypt,-1.3684916716883846,0.17115822712074924,,,,,0.30428129265910975,,
New Zealand,-1.4355158684683516,0.1511401497396807,,,,,0.27902796875017977,,
Albania,-1.4473279602970424,0.14780509169822742,,,,,0.2782213490790163,,
Thailand,-1.4514077410065307,0.1466663554802663,,,,,0.2782213490790163,,
Oman,-1.4522156528883565,0.14644165168459677,,,,,0.2782213490790163,,
Côte d'Ivoire,-1.4906858082986536,0.13604400376834325,,,,,0.2720880075366865,,
Greenland,-1.5357829322755008,0.12459162709512195,,,,,0.2544850255559937,,
Suriname,-1.5585899651865884,0.11909345962221263,,,,,0.24854287225505242,,
Peru,-1.578848516811463,0.11437080714878078,,,,,0.24399105525073234,,
Australia,-1.6262568103492323,0.10389503538175937,,,,,0.23195170689881162,,
French Polynesia,-1.647690553738282,0.09941618745246461,,,,,0.22723699989134766,,
Maldives,-1.6538448783524666,0.09815903479571042,,,,,0.22723699989134766,,
Ecuador,-1.6671201228776502,0.0954905215784958,,,,,0.22723699989134766,,
Belarus,-1.9092837225516341,0.05622550096443657,,,,,0.14993466923849752,,
Papua New Guinea,-2.0701989339692974,0.038433719064948635,,,,,0.10823427031078796,,
South Korea,-2.3049762418572524,0.021167904040047647,,,,,0.0655522189627282,,
Mauritius,-2.3882639514800656,0.016928178925927684,,,,,0.05417017256296859,,
Türkiye,-2.396787646953856,0.016539505928977016,,,,,0.05417017256296859,,
India,-2.5117280645663898,0.012014162747548296,,,,,0.0411914151344513,,
Solomon Islands,-2.6861673431117743,0.007227687946819383,,,,,0.025698446033135584,,
Uganda,-2.7239348148637195,0.006450923731366132,,,,,0.02381879531581341,,
Kenya,-2.7390099817806903,0.00616245024260853,,,,,0.023663808931616757,,
Falkland Islands,-2.806361973256733,0.005010437297322312,,,,,0.020913129588823562,,
Guatemala,-2.9132919402474573,0.0035764007411365206,,,,,0.015606112324959362,,
Pakistan,-3.0832722413531153,0.0020473776276384026,,,,,0.009827412612664331,,
Japan,-3.1180735614483965,0.001820373621861826,,,,,0.009197677247301857,,
Tanzania,-3.146913703706325,0.0016500365294187525,,,,,0.00880019482356668,,
Colombia,-3.1826594246684916,0.0014592915362039438,,,,,0.008755749217223663,,
Honduras,-3.241989044223907,0.0011869858542303824,,,,,0.007596709467074448,,
Myanmar,-3.3135189733533443,0.0009212985610165259,,,,,0.006317475846970463,,
Namibia,-3.481077656656209,0.0004994006779412974,,,,,0.003995205423530379,,
Panama,-3.607801744454039,0.00030880230482188686,,,,,0.0026950019329910124,,
Austria,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
European Commission,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
Finland,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
Cyprus,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
Slovakia,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
Luxembourg,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
Hungary,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
Switzerland,-6.127870241657279,8.906317905399419e-10,,,,,8.550065189183442e-09,,
